title,price_gbp,star_rating,rating,availability,in_stock,category,price_inr
Boar Island (Anna Pigeon #19),59.48,Three,3,In stock,True,Mystery,6275.139999999999
The Widow,27.26,Two,2,In stock,True,Mystery,2875.9300000000003
Playing with Fire,13.71,Three,3,In stock,True,Mystery,1446.4050000000002
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,Five,5,In stock,True,Mystery,2676.5350000000003
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,Five,5,In stock,True,Mystery,5517.65
Delivering the Truth (Quaker Midwife Mystery #1),20.89,Four,4,In stock,True,Mystery,2203.895
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,Four,4,In stock,True,Mystery,2616.4
In the Woods (Dublin Murder Squad #1),38.38,Two,2,In stock,True,Mystery,4049.09
The Silkworm (Cormoran Strike #2),23.05,Five,5,In stock,True,Mystery,2431.775
The Exiled,43.45,Three,3,In stock,True,Mystery,4583.975
The Cuckoo's Calling (Cormoran Strike #1),19.21,One,1,In stock,True,Mystery,2026.6550000000002
Extreme Prey (Lucas Davenport #26),25.4,Three,3,In stock,True,Mystery,2679.7
Career of Evil (Cormoran Strike #3),24.72,Two,2,In stock,True,Mystery,2607.96
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,Four,4,In stock,True,Mystery,6087.35
The Girl You Lost,12.29,Five,5,In stock,True,Mystery,1296.5949999999998
The Girl In The Ice (DCI Erika Foster #1),15.85,Three,3,In stock,True,Mystery,1672.175
Blood Defense (Samantha Brinkman #1),20.3,Three,3,In stock,True,Mystery,2141.65
1st to Die (Women's Murder Club #1),53.98,One,1,In stock,True,Mystery,5694.889999999999
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,Four,4,In stock,True,Science,4532.28
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,Five,5,In stock,True,Science,6051.48
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,Four,4,In stock,True,Science,4720.070000000001
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,One,1,In stock,True,Science,3961.5249999999996
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,One,1,In stock,True,Science,5898.504999999999
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41,One,1,In stock,True,Science,2997.255
The Origin of Species,10.01,Four,4,In stock,True,Science,1056.055
The Grand Design,13.76,Three,3,In stock,True,Science,1451.68
Peak: Secrets from the New Science of Expertise,16.28,Two,2,In stock,True,Science,1717.5400000000002
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03,Four,4,In stock,True,Science,1374.665
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",57.35,Five,5,In stock,True,Science,6050.425
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",25.83,Two,2,In stock,True,Science,2725.0649999999996
Seven Brief Lessons on Physics,30.6,Four,4,In stock,True,Science,3228.3
The Selfish Gene,29.45,One,1,In stock,True,Science,3106.975
Unicorn Tracks,18.78,Three,3,In stock,True,Fantasy,1981.2900000000002
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,Three,3,In stock,True,Fantasy,2639.61
Princess Between Worlds (Wide-Awake Princess #5),13.34,Five,5,In stock,True,Fantasy,1407.37
Masks and Shadows,56.4,Two,2,In stock,True,Fantasy,5950.2
Crown of Midnight (Throne of Glass #2),43.29,Three,3,In stock,True,Fantasy,4567.095
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,Two,2,In stock,True,Fantasy,2963.495
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,One,1,In stock,True,Fantasy,5525.035
Throne of Glass (Throne of Glass #1),35.07,Three,3,In stock,True,Fantasy,3699.885
The Glittering Court (The Glittering Court #1),44.28,One,1,In stock,True,Fantasy,4671.54
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,One,1,In stock,True,Fantasy,4534.389999999999
The Star-Touched Queen,46.02,Five,5,In stock,True,Fantasy,4855.110000000001
The Hidden Oracle (The Trials of Apollo #1),52.26,Two,2,In stock,True,Fantasy,5513.429999999999
The Bane Chronicles (The Bane Chronicles #1-11),44.73,Four,4,In stock,True,Fantasy,4719.014999999999
Island of Dragons (Unwanteds #7),29.65,One,1,In stock,True,Fantasy,3128.075
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,Five,5,In stock,True,Fantasy,3957.305
City of Glass (The Mortal Instruments #3),56.02,Four,4,In stock,True,Fantasy,5910.110000000001
Searching for Meaning in Gailana,38.73,One,1,In stock,True,Fantasy,4086.015
A Shard of Ice (The Black Symphony Saga #1),56.63,Three,3,In stock,True,Fantasy,5974.465
King's Folly (The Kinsman Chronicles #1),39.61,Five,5,In stock,True,Fantasy,4178.855
Every Heart a Doorway (Every Heart A Doorway #1),12.16,Five,5,In stock,True,Fantasy,1282.88
A Gathering of Shadows (Shades of Magic #2),44.81,Four,4,In stock,True,Fantasy,4727.455
The Raven Boys (The Raven Cycle #1),57.74,Four,4,In stock,True,Fantasy,6091.570000000001
The False Prince (The Ascendance Trilogy #1),56.0,Five,5,In stock,True,Fantasy,5908.0
Tell the Wind and Fire,45.51,Three,3,In stock,True,Fantasy,4801.304999999999
A Feast for Crows (A Song of Ice and Fire #4),17.21,Four,4,In stock,True,Fantasy,1815.6550000000002
The Demonists (Demonist #1),52.11,Two,2,In stock,True,Fantasy,5497.605
The Beast (Black Dagger Brotherhood #14),46.08,Five,5,In stock,True,Fantasy,4861.44
Paper and Fire (The Great Library #2),49.45,Five,5,In stock,True,Fantasy,5216.975
Harry Potter and the Order of the Phoenix (Harry Potter #5),31.63,Four,4,In stock,True,Fantasy,3336.9649999999997
Harry Potter and the Half-Blood Prince (Harry Potter #6),48.75,Five,5,In stock,True,Fantasy,5143.125
Harry Potter and the Chamber of Secrets (Harry Potter #2),14.74,One,1,In stock,True,Fantasy,1555.07
The Rose & the Dagger (The Wrath and the Dawn #2),58.64,Four,4,In stock,True,Fantasy,6186.52
Soldier (Talon #3),24.72,Two,2,In stock,True,Fantasy,2607.96
Midnight Riot (Peter Grant/ Rivers of London - books #1),55.46,Two,2,In stock,True,Fantasy,5851.03
Heir to the Sky,44.07,Four,4,In stock,True,Fantasy,4649.385
Eragon (The Inheritance Cycle #1),43.87,Three,3,In stock,True,Fantasy,4628.285
Darkfever (Fever #1),56.02,One,1,In stock,True,Fantasy,5910.110000000001
Ash,22.06,Four,4,In stock,True,Fantasy,2327.33
A Storm of Swords (A Song of Ice and Fire #3),31.22,Two,2,In stock,True,Fantasy,3293.71
Vampire Girl (Vampire Girl #1),53.82,Two,2,In stock,True,Fantasy,5678.01
The Silent Twin (Detective Jennifer Knight #3),36.25,Three,3,In stock,True,Fantasy,3824.375
The Mirror & the Maze (The Wrath and the Dawn #1.5),29.38,One,1,In stock,True,Fantasy,3099.5899999999997
Sister Sable (The Mad Queen #1),13.33,Three,3,In stock,True,Fantasy,1406.315
Shadow Rites (Jane Yellowrock #10),21.72,Four,4,In stock,True,Fantasy,2291.46
Origins (Alphas 0.5),28.99,One,1,In stock,True,Fantasy,3058.4449999999997
One Second (Seven #7),52.94,Two,2,In stock,True,Fantasy,5585.17
Myriad (Prentor #1),58.75,Four,4,In stock,True,Fantasy,6198.125
